táimid	ˈt̪ˠɑːmʲədʲ
gruaim	ɡɾˠuəmʲ
gliogar	ˈɟlʲɪɡəɾˠ
cora	ˈkɔɾˠə
bhocht	wɔxt̪ˠ
díolta	ˈdʲiːl̪ˠt̪ˠə
fhiacail	ˈiəkəlʲ
sileacan	ˈʃɪlʲəkənˠ
teib	tʲɛbʲ
bhíomar	ˈvʲiːmˠəɾˠ
teilifíse	ˈtʲɛlʲəfʲiːʃə
hachar	ˈhaxəɾˠ
comórtas	ˈkɔmˠoːɾˠt̪ˠəsˠ
gcorp	ɡɔɾˠpˠ
fhuar	uəɾˠ
fail	fˠalʲ
olann	ˈɔlˠən̪ˠ
cófra	ˈkoːfˠɾˠə
faide	ˈfˠadʲə
fríod	fʲɾʲiːd̪ˠ
doiciméad	ˈd̪ˠɔcɪmʲeːd̪ˠ
iascach	ˈiəsˠkəx
hail	halʲ
geac	ɟak
plean	pʲlʲanˠ
colainn	ˈkɔlˠən̠ʲ
faisean	ˈfˠaʃənˠ
dídean	ˈdʲiːdʲənˠ
cuirid	ˈkɪɾʲədʲ
goidim	ˈɡɞdʲəmʲ
cuirim	ˈkiɾʲəmʲ
Polainn	ˈpˠɔlˠən̠ʲ
pobail	ˈpˠɔbˠəlʲ
tú	t̪ˠuː
sú	sˠuː
sceitimíní	ˈʃcɛtʲəmʲiːnʲiː
fuascail	ˈfˠuəsˠkəlʲ
buaf	bˠuəfˠ
chileagram	ˈçɪlʲəɡɾˠamˠ
nach	n̪ˠax
cú	kuː
rú	ɾˠuː
each	ax
cros	kɾˠɔsˠ
riocht	ɾˠʊxt̪ˠ
laofa	ˈl̪ˠiːfˠə
naofa	ˈn̪ˠiːfˠə
ite	ˈitʲə
gealacán	ˈɟalˠəkɑːnˠ
bú	bˠuː
brionglóid	ˈbʲɾʲɪŋlˠoːdʲ
bhialann	ˈvʲiəlˠən̪ˠ
phasta	ˈfˠasˠt̪ˠə
tuite	ˈt̪ˠɪtʲə
gcuid	ɡɪdʲ
garraí	ˈɡaɾˠiː
gúna	ˈɡuːn̪ˠə
ó	oː
clúdach	ˈklˠuːd̪ˠəx
guite	ˈɡɪtʲə
speisialta	ˈsˠpʲɛʃiəl̪ˠt̪ˠə
ise	ˈɪʃə
náisiúin	ˈn̪ˠɑːʃuːnʲ
míol	mʲiːlˠ
brata	ˈbˠɾˠat̪ˠə
eim	ɛmʲ
dheá-	jɑː
cábán	ˈkɑːbˠɑːnˠ
falach	ˈfˠalˠəx
galach	ˈɡalˠəx
cupán	ˈkʊpˠɑːnˠ
dte	dʲɛ
mbróga	ˈmˠɾˠoːɡə
goib	ɡɪbʲ
tuirse	ˈt̪ˠʊɾˠʃə
píobaire	ˈpʲiːbˠəɾʲə
nóis	n̪ˠoːʃ
Gaeil	ɡeːlʲ
pógtha	ˈpˠoːkə
fásaim	ˈfˠɑːsˠəmʲ
bhfágálacha	ˈwɑːɡɑːlˠəxə
righ	ɾˠiː
Róis	ɾˠoːʃ
uaigneas	ˈuəɟnʲəsˠ
císte	ˈciːʃtʲə
cafarr	ˈkafˠəɾˠ
díol	dʲiːlˠ
giúistís	ˈɟuːʃtʲiːʃ
tíoróideach	ˈtʲiːɾˠoːdʲəx
cart	kɑɾˠt̪ˠ
dtéann	dʲeːn̪ˠ
crean	cɾʲanˠ
grean	ɟɾʲanˠ
chailín	ˈxalʲiːnʲ
fuinneoga	ˈfˠɪn̠ʲoːɡə
lorga	ˈl̪ˠɔɾˠəɡə
torainn	ˈt̪ˠɔɾˠən̠ʲ
litreach	ˈlʲitʲɾʲəx
siúinéara	ˈʃuːnʲeːɾˠə
gnó	ɡɾˠoː
báirseach	ˈbˠaːɾˠʃəx
dtiocfá	ˈdʲʊkfˠɑː
fhuaire	ˈuəɾʲə
dreoite	ˈdʲɾʲoːtʲə
cáinim	ˈkɑːnʲəmʲ
Caiseal	ˈkaʃəlˠ
sobal	ˈsˠɔbˠəlˠ
gáirí	ˈɡɑːɾʲiː
éag	eːɡ
fabht	fˠəut̪ˠ
dabht	d̪ˠəut̪ˠ
malaicít	ˈmˠalˠɪciːtʲ
braon	bˠɾˠiːnˠ
aithin	ˈahənʲ
smál	sˠmˠɑːlˠ
nÍ	n̠ʲiː
seasc	ʃasˠk
reitric	ˈɾˠɛtʲɾʲɪc
ar fáil	ɛɾʲˈfˠɑːlʲ
dúcha	ˈd̪ˠuːxə
uaigh	uə
buidéil	ˈbˠɪdʲeːlʲ
deasc	dʲæsˠk
hÍ	hiː
measc	mʲasˠk
leasc	l̠ʲasˠk
abraid	ˈabˠɾˠədʲ
culaithe	ˈkʊlˠɪhə
sneachtúil	ˈʃnʲaxt̪ˠuːlʲ
uaireadóir	ˈuəɾʲəd̪ˠoːɾʲ
beathaí	ˈbʲahiː
phráis	fˠɾˠɑːʃ
tuartha	ˈt̪ˠuəɾˠhə
céadfach	ˈceːd̪ˠfˠəx
fáinne	ˈfˠɑːn̠ʲə
ús	uːsˠ
aosán	ˈiːsˠɑːnˠ
tigim	ˈtʲɪɟɪmʲ
soic	sˠɪc
caiseal	ˈkaʃəlˠ
briseanna	ˈbʲɾʲɪʃən̪ˠə
leá	l̠ʲɑː
Port Laoise	pˠɔɾˠt̪ˠ ˈl̪ˠiːʃə
fíodóirí	ˈfʲiːd̪ˠoːɾʲiː
datha	ˈd̪ˠahə
catha	ˈkahə
ngeimhrí	ˈɲɛvʲɾʲiː
teagasc	ˈtʲaɡəsˠ
crógach	ˈkɾˠoːɡəx
chráis	xɾˠɑːʃ
buartha	ˈbˠuəɾˠhə
céanna	ˈceːn̪ˠə
Connacht	ˈkʊn̪ˠəxt̪ˠ
aoibhneas	ˈiːvʲnʲəsˠ
bhfichidí	ˈvʲɪçɪdʲiː
-óinn	oːn̠ʲ
patrún	ˈpˠɑt̪ˠɾˠuːnˠ
tuigim	ˈt̪ˠɪɟɪmʲ
uaill	uəl̠ʲ
múinid	ˈmˠuːnʲədʲ
losaid	ˈl̪ˠɔsˠədʲ
dtéid	dʲeːdʲ
clampar	ˈklˠamˠpˠəɾˠ
consan	ˈkɔn̪ˠsˠənˠ
liomóg	ˈl̠ʲʊmˠoːɡ
leifteanant	ˈl̠ʲɛfʲtʲən̪ˠən̪ˠt̪ˠ
Naoise	ˈn̪ˠiːʃə
Peirsis	ˈpʲɛɾʲʃɪʃ
piléar	ˈpʲɪlʲeːɾˠ
tost	t̪ˠɔsˠt̪ˠ
damhsa	ˈd̪ˠəusˠə
dhíobháil	ˈjiːwɑːlʲ
i dtrátha	əˈd̪ˠɾˠɑːhə
feamainn	ˈfʲamˠən̠ʲ
cuileog	ˈkilʲoːɡ
glic	ɟlʲɪc
bagairt	ˈbˠaɡəɾˠtʲ
áit	ɑːtʲ
cruitireacht	ˈkɾˠɪtʲəɾʲəxt̪ˠ
lachain	ˈl̪ˠaxənʲ
gairleog	ˈɡaɾʲlʲoːɡ
cén	ceːnˠ
dtreo	dʲɾʲoː
gearba	ˈɟaɾˠəbˠə
ceannaire	ˈcan̪ˠəɾʲə
deiseal	ˈdʲɛʃəlˠ
uireaspa	ˈɪɾʲəsˠpˠə
táim	t̪ˠɑːmʲ
sáim	sˠɑːmʲ
gairme	ˈɡaɾʲəmʲə
fágálacha	ˈfˠɑːɡɑːlˠəxə
fógra	ˈfˠoːɡɾˠə
shá	hɑː
mhá	wɑː
phá	fˠɑː
leapa	ˈl̠ʲapˠə
dó dhéag	d̪ˠoː jeːɡ
faoistin	ˈfˠiːʃtʲənʲ
sona	ˈsˠʊn̪ˠə
tharamsa	ˈhaɾˠəmˠsˠə
dhá	ɣɑː
gceilt	ɟɛl̠ʲtʲ
choir	xɛɾʲ
gcarachtar	ˈɡaɾˠəxt̪ˠəɾˠ
máistir	ˈmˠɑːʃtʲəɾʲ
maraigh	ˈmˠaɾˠə
na	n̪ˠə
spás	sˠpˠɑːsˠ
lúbaire	ˈl̪ˠuːbˠəɾʲə
trí déag	tʲɾʲiː dʲeːɡ
casair	ˈkasˠəɾʲ
dhínne	ˈjiːn̠ʲə
seisc	ʃɛʃc
sa	sˠə
Ros Comáin	ɾˠɔsˠ ˈkʊmˠɑːnʲ
duadar	ˈd̪ˠuəd̪ˠəɾˠ
fhreastail	ˈɾʲasˠt̪ˠəlʲ
fuadar	ˈfˠuəd̪ˠəɾˠ
bpáipéar	ˈbˠɑːpʲeːɾˠ
gnéas	ɟɾʲeːsˠ
tuile	ˈt̪ˠɪlʲə
fhreastal	ˈɾʲasˠt̪ˠəlˠ
láib	l̪ˠɑːbʲ
bpeata	ˈbʲat̪ˠə
lasair	ˈl̪ˠasˠəɾʲ
Iodáil	ˈɪd̪ˠɑːlʲ
sílim	ˈʃiːlʲəmʲ
mb	mˠ
mún	mˠuːnˠ
tál	t̪ˠɑːlˠ
hamas	ˈhamˠəsˠ
tír	tʲiːɾʲ
fál	fˠɑːlˠ
gcoill	ɡɞl̠ʲ
citeal	ˈcɪtʲəlˠ
oblátach	ˈɔbˠlˠɑːt̪ˠəx
fír	fʲiːɾʲ
pápa	ˈpˠɑːpˠə
chaill	xal̠ʲ
ea	a
lampaí	ˈl̪ˠamˠpˠiː
ghlan	ɣlˠanˠ
míleach	ˈmʲiːlʲəx
abairte	ˈabˠəɾʲtʲə
ar tí	ɛɾʲˈtʲiː
nc	ŋk
gealach	ˈɟalˠəx
teagascóir	ˈtʲaɡəsˠkoːɾʲ
nílir	ˈnʲiːlʲəɾʲ
chaogad	ˈxiːɡəd̪ˠ
cuaird	kuəɾˠdʲ
ceártaí	ˈcɑːɾˠt̪ˠiː
trátha	ˈt̪ˠɾˠɑːhə
ab	abˠ
casfaidh	ˈkasˠə
corrach	ˈkɔɾˠəx
gró	ɡɾˠoː
nd	n̪ˠ
Nc	ŋk
rithim	ˈɾˠɪhəmʲ
Bairbre	ˈbˠaɾʲəbʲɾʲə
tnáithim	ˈt̪ˠɾˠɑːhəmʲ
brac	bˠɾˠak
grán	ɡɾˠɑːnˠ
gcaogad	ˈɡiːɡəd̪ˠ
fúmsa	ˈfˠuːmˠsˠə
díoltas	ˈdʲiːl̪ˠt̪ˠəsˠ
inne	ˈɪn̠ʲə
áfach	ˈɑːfˠəx
gcúl	ɡuːlˠ
bró	bˠɾˠoː
cró	kɾˠoː
éadroime	ˈeːd̪ˠɾˠəmʲə
fhlaith	lˠa
bhflaith	wlˠa
le	lʲɛ
hime	ˈhimʲə
muic	mˠɪc
Albain	ˈalˠəbˠənʲ
cuirimid	ˈkɪɾʲəmʲədʲ
goideann	ˈɡɛdʲən̪ˠ
frása	ˈfˠɾˠɑːsˠə
grása	ˈɡɾˠɑːsˠə
ad	əd̪ˠ
deoir	dʲoːɾʲ
bréagach	ˈbʲɾʲeːɡəx
deifir	ˈdʲɛfʲəɾʲ
turtar	ˈt̪ˠʊɾˠt̪ˠəɾˠ
ceilt	cɛl̠ʲtʲ
clibín	ˈclʲɪbʲiːnʲ
rinneamar	ˈɾˠɪn̠ʲəmˠəɾˠ
saonta	ˈsˠiːn̪ˠt̪ˠə
t-éan	tʲeːnˠ
geilt	ɟɛl̠ʲtʲ
ae	eː
de	dʲə
díograiseach	ˈdʲiːɡɾˠəʃəx
muidne	ˈmˠɪdʲnʲə
i gcoinne	əˈɡɪn̠ʲə
ósta	ˈoːsˠt̪ˠə
eisceacht	ˈɛʃcəxt̪ˠ
feilim	ˈfʲɛlʲəmʲ
cruaidh	kɾˠuə
chúl	xuːlˠ
ócairín	ˈoːkəɾʲiːnʲ
gunna	ˈɡʊn̪ˠə
ceilim	ˈcelʲəmʲ
phlúch	fˠlˠuːx
ceist	cɛʃtʲ
péiste	ˈpʲeːʃtʲə
go fóill	ɡəˈfˠoːl̠ʲ
bhfiche	ˈvʲɪçə
grág	ɡɾˠɑːɡ
chon	xɔnˠ
naoi déag	n̪ˠiː dʲeːɡ
dtrátha	ˈd̪ˠɾˠɑːhə
bhfeolta	ˈvʲoːl̪ˠt̪ˠə
caraid	ˈkaɾˠədʲ
féidir	ˈfʲeːdʲəɾʲ
fhuilim	ˈɪlʲəmʲ
dtitinn	ˈdʲɪtʲən̠ʲ
siúinéaraí	ˈʃuːnʲeːɾˠiː
gheala	ˈjalˠə
píce	ˈpʲiːcɪ
feith	fʲɛh
leás	l̠ʲɑːsˠ
cheist	çɛʃtʲ
Liam	l̠ʲiəmˠ
aistriú	ˈaʃtʲɾʲuː
caipín	ˈkapʲiːnʲ
rúta	ˈɾˠuːt̪ˠə
láidir	ˈl̪ˠɑːdʲəɾʲ
plaic	pˠlˠac
mhaith	wa
diúl	dʲuːlˠ
seift	ʃɛfʲtʲ
altfaidh	ˈal̪ˠt̪ˠə
chaith	xa
siúl	ʃuːlˠ
fhágáil	ˈɑːɡɑːlʲ
stoic	sˠt̪ˠɪc
dhruid	ɣɾˠɪdʲ
trócaire	ˈt̪ˠɾˠoːkəɾʲə
matán	ˈmˠat̪ˠɑːnˠ
is cuma	əsˠ ˈkʊmˠə
chás	xɑːsˠ
bhrád	wɾˠɑːd̪ˠ
gliocacht	ˈɟlʲɪkəxt̪ˠ
súiste	ˈsˠuːʃtʲə
aer	eːɾˠ
íseal	ˈiːʃəlˠ
catán	ˈkat̪ˠɑːnˠ
óltar	ˈoːl̪ˠt̪ˠəɾˠ
lachan	ˈl̪ˠaxənˠ
dúiseacht	ˈd̪ˠuːʃəxt̪ˠ
droma	ˈd̪ˠɾˠɔmˠə
fhuaigh	uə
spág	sˠpˠɑːɡ
fágfar	ˈfˠɑːkfˠəɾˠ
gloine	ˈɡlˠɪnʲə
gclóis	ɡlˠoːʃ
amaid	ˈamˠədʲ
piast	pʲiəsˠt̪ˠ
áirigh	ˈɑːɾʲiː
bialann	ˈbʲiəlˠən̪ˠ
plás	pˠlˠɑːsˠ
hama	ˈhamˠə
i ndán	əˈn̪ˠɑːn̪ˠ
eiseachaid	ˈɛʃaxədʲ
soineanta	ˈsˠɪnʲən̪ˠt̪ˠə
imigh	ˈimʲə
cama	ˈkamˠə
uainín	ˈuənʲiːnʲ
taisc	t̪ˠaʃc
carbad	ˈkaɾˠəbˠəd̪ˠ
coscairt	ˈkɔsˠkəɾˠtʲ
doras	ˈd̪ˠɔɾˠəsˠ
draid	d̪ˠɾˠadʲ
aitheanta	ˈahən̪ˠt̪ˠə
murab	ˈmˠʊɾˠəbˠ
poitín	ˈpˠɛtʲiːnʲ
shín	hiːnʲ
facthas	ˈfˠakəsˠ
toitín	ˈt̪ˠɛtʲiːnʲ
aoi	iː
bronnaim	ˈbˠɾˠɔn̪ˠəmʲ
cáca	ˈkɑːkə
taoi	t̪ˠiː
seamróga	ˈʃamˠɾˠoːɡə
táirgiúil	ˈt̪ˠɑːɾʲɟuːlʲ
léacht	l̠ʲeːxt̪ˠ
aitheantas	ˈahən̪ˠt̪ˠəsˠ
mhín	vʲiːnʲ
cúlach	ˈkuːlˠəx
chum	xʊmˠ
agóid	ˈaɡoːdʲ
phós	fˠoːsˠ
diúraic	ˈdʲuːɾˠɪc
daoi	d̪ˠiː
faoi	fˠiː
láimh	l̪ˠɑːvʲ
bhrata	ˈvˠɾˠat̪ˠə
deasaigh	ˈdʲasˠiː
naoi	n̪ˠiː
díbhse	ˈdʲiːvʲʃə
ar shiúl	ɛɾʲˈçuːlˠ
socrú	ˈsˠɔkɾˠuː
thoirt	hɔɾˠtʲ
tromán	ˈt̪ˠɾˠʊmˠɑːnˠ
fuip	fˠɪpʲ
cúpla	ˈkuːpˠlˠə
miotóg	ˈmʲɪt̪ˠoːɡ
coisin	ˈkɔʃɪnʲ
ngaiscíoch	ˈŋaʃciːx
cogar	ˈkɔɡəɾˠ
plúch	pˠlˠuːx
deireas	ˈdʲɛɾʲəsˠ
bólacht	ˈbˠoːlˠəxt̪ˠ
sceacha	ˈʃcaxə
cúrsa	ˈkuːɾˠsˠə
éastras	ˈeːsˠt̪ˠɾˠəsˠ
gráig	ɡɾˠɑːɟ
maoine	ˈmˠiːnʲə
lítear	ˈl̠ʲiːtʲəɾˠ
tine chreasa	ˌtʲɪnʲə ˈçɾʲasˠə
fuiliceach	ˈfˠɪlʲɪcəx
deoise	ˈdʲoːʃə
cítear	ˈciːtʲəɾˠ
ghaiscíoch	ˈɣaʃciːx
innilt	ˈɪn̠ʲəl̠ʲtʲ
feilméara	ˈfʲɛlʲəmʲeːɾˠə
ghaibh	ɣavʲ
uaire	ˈuəɾʲə
gaobhar	ˈɡiːwəɾˠ
Arabach	ˈaɾˠəbˠəx
fáth	fˠɑː
staic	sˠt̪ˠac
caife	ˈkafʲə
géibheann	ˈɟeːvʲən̪ˠ
láth	l̪ˠɑː
dhó	ɣoː
hailt	hal̠ʲtʲ
gaire	ˈɡaɾʲə
faire	ˈfˠaɾʲə
ráth	ɾˠɑː
dréim	dʲɾʲeːmʲ
caoine	ˈkiːnʲə
daoine	ˈd̪ˠiːnʲə
mbás	mˠɑːsˠ
ocht déag	ɔxt̪ˠ dʲeːɡ
meana	ˈmʲan̪ˠə
eofón	ˈoːfˠoːnˠ
leitean	ˈl̠ʲɛtʲənˠ
fheola	ˈoːlˠə
fúm	fˠuːmˠ
rásúr	ˈɾˠɑːsˠuːɾˠ
síob	ʃiːbˠ
spré	sˠpʲɾʲeː
facs	fˠaksˠ
ceirbreach	ˈcɛɾʲəbʲɾʲəx
rotha	ˈɾˠɔhə
arcán	ˈaɾˠkɑːnˠ
sáiste	ˈsˠɑːʃtʲə
caolas	ˈkiːlˠəsˠ
dtuama	ˈd̪ˠuəmˠə
damhán	ˈd̪ˠawɑːnˠ
ceart	caɾˠt̪ˠ
fheiceanna	ˈɛcən̪ˠə
táilliúir	ˈt̪ˠɑːl̠ʲuːɾʲ
glacfaidh	ˈɡlˠakə
fhiche	ˈɪçə
laige	ˈl̪ˠaɟɪ
cistin	ˈcɪʃtʲənʲ
deirimid	ˈdʲɛɾʲəmʲədʲ
gaige	ˈɡaɟɪ
haige	ˈhaɟɪ
thugainn	ˈhʊɡən̠ʲ
muiníneach	ˈmˠɪnʲiːnʲəx
beart	bʲaɾˠt̪ˠ
diaga	ˈdʲiəɡə
ghéaraigh	ˈjeːɾˠi
chais	xaʃ
smuga	ˈsˠmˠʊɡə
salann	ˈsˠalˠən̪ˠ
piteog	ˈpʲɪtʲoːɡ
ghais	ɣaʃ
gcás	ɡɑːsˠ
sir	ʃɪɾʲ
tharainne	ˈhaɾˠən̠ʲə
eabar	ˈabˠəɾˠ
ngrá	ŋɾˠɑː
fir	fʲɪɾʲ
nG	ŋ
dochtúir	ˈd̪ˠɔxt̪ˠuːɾʲ
easpaig	ˈasˠpˠɪɟ
Peige	ˈpʲɛɟə
geire	ˈɟɛɾʲə
Pheadair	ˈfʲad̪ˠəɾʲ
deire	ˈdʲɛɾʲə
thais	haʃ
péatar	ˈpʲeːt̪ˠəɾˠ
chrá	xɾˠɑː
tinte	ˈtʲɪn̠ʲtʲə
lucharachán	ˈl̪ˠʊxəɾˠəxɑːnˠ
thua	huə
gruama	ˈɡɾˠuəmˠə
beire	ˈbʲɛɾʲə
luaith	l̪ˠuə
cabhrach	ˈkəuɾˠəx
thrá	hɾˠɑː
gceist	ɟɛʃtʲ
turas	ˈt̪ˠoɾˠəsˠ
mainistir	ˈmˠanʲəʃtʲəɾʲ
cóisir	ˈkoːʃəɾʲ
hataí	ˈhat̪ˠiː
fataí	ˈfˠat̪ˠiː
eiteog	ˈɛtʲoːɡ
feicim	ˈfʲɛcəmʲ
chirce	ˈçɪɾʲcə
cosaint	ˈkɔsˠən̠ʲtʲ
gaofar	ˈɡiːfˠəɾˠ
féil	fʲeːlʲ
mórtas	ˈmˠoːɾˠt̪ˠəsˠ
dúrais	ˈd̪ˠuːɾˠəʃ
léir	l̠ʲeːɾʲ
earra	ˈaɾˠə
cobra	ˈkɔbˠɾˠə
Páras	ˈpˠɑːɾˠəsˠ
beiche	ˈbʲɛçɪ
dúnaim	ˈd̪ˠuːn̪ˠəmʲ
locha	ˈl̪ˠɔxə
mocha	ˈmˠɔxə
cacht	kaxt̪ˠ
fhásas	ˈɑːsˠəsˠ
dóim	d̪ˠoːmʲ
dtrí	dʲɾʲiː
céir	ceːɾʲ
Connachtach	ˈkon̪ˠəxt̪ˠəx
cabach	ˈkabˠəx
snua	sˠn̪ˠuː
-ínn	iːn̠ʲ
searbhas	ˈʃaɾˠəwəsˠ
meánach	ˈmʲɑːn̪ˠəx
dheacair	ˈjakəɾʲ
dream	dʲɾʲamˠ
fréimhe	ˈfʲɾʲeːvʲə
leifteán	ˈl̠ʲɛfʲtʲɑːnˠ
taghd	t̪ˠəid̪ˠ
ginideach	ˈɟɪnʲədʲəx
Ó Briain	oː ˈbʲɾʲiənʲ
gnách	ɡɾˠɑːx
craos	kɾˠiːsˠ
scairt	sˠkaɾˠtʲ
tochail	ˈt̪ˠɔxəlʲ
scór	sˠkoːɾˠ
flaithiúlacht	ˈfˠlˠæhuːlˠəxt̪ˠ
sráideanna	ˈsˠɾˠɑːdʲən̪ˠə
impí	ˈɪmʲpʲiː
féidearthacht	ˈfʲeːdʲəɾˠhəxt̪ˠ
céasta	ˈceːsˠt̪ˠə
brod	bˠɾˠod̪ˠ
Seoighe	ˈʃoːjə
scin	ʃcɪnʲ
méireasta	ˈmʲeːɾʲəsˠt̪ˠə
pínn	pʲiːn̠ʲ
dugaire	ˈd̪ˠʊɡəɾʲə
stua	sˠt̪ˠuə
fuaimniú	ˈfˠuəmʲnʲuː
tóra	ˈt̪ˠoːɾˠə
móra	ˈmˠoːɾˠə
iarraim	ˈiəɾˠəmʲ
dínn	dʲiːn̠ʲ
fhéidir	ˈeːdʲəɾʲ
thrí	hɾʲiː
srúill	sˠɾˠuːl̠ʲ
cogain	ˈkɔɡənʲ
carraigeach	ˈkaɾʲəɟəx
páistí	ˈpˠɑːʃtʲiː
Bascais	ˈbˠasˠkəʃ
créatúir	ˈcɾʲeːt̪ˠuːɾʲ
druidim	ˈd̪ˠɾˠɪdʲəmʲ
ghob	ɣɔbˠ
creig	cɾʲɛɟ
Eoin	oːnʲ
chéad	çeːd̪ˠ
bhíobhair	ˈvʲiːwəɾʲ
feoite	ˈfʲoːtʲə
uimhir	ˈɪvʲəɾʲ
cinnire	ˈcɪn̠ʲəɾʲə
cláirseach	ˈklˠɑːɾˠʃəx
giob	ɟɪbˠ
teorann	ˈtʲoːɾˠən̪ˠ
sinsir	ˈʃɪn̠ʲʃəɾʲ
othar	ˈɔhəɾˠ
bheinn	vʲɛn̠ʲ
troime	ˈt̪ˠɾˠɪmʲə
feiceanna	ˈfʲɛcən̪ˠə
coin	kɪnʲ
beiriú	ˈbʲɛɾʲuː
meithle	ˈmʲɛhlʲə
thuig	hɪɟ
go háirid	ɡəˈhɑːɾʲədʲ
athar	ˈahəɾˠ
thorann	ˈhɔɾˠən̪ˠ
eitil	ˈɛtʲɪlʲ
téaltó	ˈtʲeːl̪ˠt̪ˠoː
buailte	ˈbˠuəl̠ʲtʲə
cosúil	ˈkɔsˠuːlʲ
sméire	ˈsˠmʲeːɾʲə
charachtar	ˈxaɾˠəxt̪ˠəɾˠ
peictiúr	ˈpʲɛctʲuːɾˠ
treoracha	ˈtʲɾʲoːɾˠəxə
so	sˠɔ
iadsan	ˈiəd̪ˠsˠənˠ
súile	ˈsˠuːlʲə
gcloisteáil	ˈɡlˠɔʃtʲɑːlʲ
go	ɡə
órga	ˈoːɾˠɡə
eo	oː
sásair	ˈsˠɑːsˠəɾʲ
ghing	jɪɲ
chuig	xɪɟ
mo	mˠə
formad	ˈfˠɔɾˠəmˠəd̪ˠ
diúracán	ˈdʲuːɾˠəkɑːnˠ
naomhtar	ˈn̪ˠiːwt̪ˠəɾˠ
caolú	ˈkiːlˠuː
mustar	ˈmˠʊsˠt̪ˠəɾˠ
duit	d̪ˠɪtʲ
cealgaire	ˈcalˠəɡəɾʲə
scine	ˈʃcɪnʲə
fuilir	ˈfˠɪlʲəɾʲ
teip	tʲɛpʲ
bruite	ˈbˠɾˠɪtʲə
gcine	ˈɟɪnʲə
meacain	ˈmʲakənʲ
bláfar	ˈbˠlˠɑːfˠəɾˠ
gine	ˈɟɪnʲə
mhór	woːɾˠ
cráite	ˈkɾˠɑːtʲə
saraiste	ˈsˠaɾˠəʃtʲə
ceatha	ˈcahə
reatha	ˈɾˠahə
uaine	ˈuənʲə
nEoin	n̠ʲoːnʲ
abras	ˈabˠɾˠəsˠ
chór	xoːɾˠ
saorann	ˈsˠiːɾˠən̪ˠ
Muire	ˈmˠɪɾʲə
chiúin	çuːnʲ
leanaim	ˈl̠ʲan̪ˠəmʲ
gafa	ˈɡafˠə
prios	pʲɾʲɪsˠ
piocthacht	ˈpʲɪkəxt̪ˠ
galánta	ˈɡalˠɑːn̪ˠt̪ˠə
mhitheas	ˈvʲɪhəsˠ
Aoibhe	ˈiːvʲə
liúit	l̠ʲuːtʲ
bhfir	vʲɪɾʲ
lacha	ˈl̪ˠaxə
ceoltóir	ˈcoːl̪ˠt̪ˠoːɾʲ
seol	ʃoːlˠ
ceintiméadar	ˈcɛn̠ʲtʲəmʲeːd̪ˠəɾˠ
stop	sˠt̪ˠɔpˠ
bothóg	ˈbˠɔhoːɡ
púma	ˈpˠuːmˠə
tútach	ˈt̪ˠuːt̪ˠəx
ára	ˈɑːɾˠə
gcol	ɡɔlˠ
cuisle	ˈkiʃlʲə
deara	ˈdʲaɾˠə
Macha	ˈmˠaxə
ndol	n̪ˠɔlˠ
millim	ˈmʲɪl̠ʲəmʲ
fillim	ˈfʲɪl̠ʲəmʲ
chearc	çaɾˠk
ghealach	ˈjalˠəx
plimp	pʲlʲɪmʲpʲ
buachaill	ˈbˠuəxəl̠ʲ
cainte	ˈkan̠ʲtʲə
bainte	ˈbˠan̠ʲtʲə
baist	bˠaʃtʲ
gortú	ˈɡɔɾˠt̪ˠuː
mhílte	ˈvʲiːl̠ʲtʲə
spóirt	sˠpˠoːɾˠtʲ
hursa	ˈhʊɾˠsˠə
bímis	ˈbʲiːmʲəʃ
tuíodóir	ˈt̪ˠiːd̪ˠoːɾʲ
liatha	ˈl̠ʲiəhə
scara	ˈsˠkaɾˠə
tinnis	ˈtʲɪn̠ʲəʃ
chuireas	ˈxɪɾʲəsˠ
dhíbhse	ˈjiːvʲʃə
portaireacht	ˈpˠɔɾˠt̪ˠəɾʲəxt̪ˠ
ngaranna	ˈŋaɾˠən̪ˠə
phus	fˠʊsˠ
cuarc	kuəɾˠk
broic	bˠɾˠɪc
mhire	ˈvʲɪɾʲə
amanna	ˈamˠən̪ˠə
phléisiúr	ˈfʲlʲeːʃuːɾˠ
Sinéad	ˈʃɪnʲeːd̪ˠ
abairt	ˈabˠəɾˠtʲ
gcéad	ɟeːd̪ˠ
cruinniú	ˈkɾˠɪn̠ʲuː
Tibéidis	ˈtʲɪbʲeːdʲəʃ
dhol	ɣɔlˠ
flatha	ˈfˠlˠahə
puisín	ˈpˠɪʃiːnʲ
ndara	ˈn̪ˠaɾˠə
baile mór	ˌbˠalʲə ˈmˠoːɾˠ
cuire	ˈkɪɾʲə
sine	ˈʃɪnʲə
tine	ˈtʲɪnʲə
crua	kɾˠuə
mine	ˈmʲɪnʲə
tuthóg	ˈt̪ˠʊhoːɡ
crosfaidh	ˈkɾˠɔsˠə
ómrach	ˈuːmˠɾˠəx
buachalán	ˈbˠuəxəlˠɑːnˠ
faithne	ˈfˠæhnʲə
cluain	klˠuənʲ
craiceanna	ˈkɾˠacən̪ˠə
súmaire	ˈsˠuːmˠəɾʲə
busanna	ˈbˠʊsˠən̪ˠə
mhol	wɔlˠ
togair	ˈt̪ˠɔɡəɾʲ
sh	h
ph	fˠ
tréad	tʲɾʲeːd̪ˠ
fiair	fʲiəɾʲ
Cáit	kɑːtʲ
