word,tags,ipa,results,match,dolgo
'déistin',,ˈdʲeːʃtʲənʲ,ˈdʲeːʃtʲənʲ,100,1.0
'mhitheas',,ˈvʲɪhəsˠ,ˈvʲɪhəsˠ,100,1.0
'cruit',,kɾˠɪtʲ,kɾˠʊt̪ˠ,50,0.67
'spréach',,sˠpʲɾʲeːx,ʃpʲɾʲeːx,78,0.82
'snagcheol',,ˈsˠn̪ˠaɡˌçoːlˠ,ˈsˠn̪ˠaɟçoːlˠ,86,0.88
'coscairt',,ˈkɔsˠkəɾˠtʲ,ˈkɔsˠkəɾʲtʲ,88,0.90
'ríúil',,ˈɾˠiːuːlʲ,ˈɾʲíúlʲ,46,0.65
'ruaig',,ɾˠuəɟ,ˈɾˠuəc,60,0.71
'Liam',,l̠ʲiəmˠ,ˈlʲiəmˠ,72,0.79
'crín',,cɾʲiːnʲ,cɾʲiːnʲ,100,1.0
'choscair',,ˈxɔsˠkəɾʲ,ˈxɔsˠkəɾʲ,100,1.0
'uimhreach',,ˈɪvʲɾʲəx,ˈɪvʲɾʲəx,100,1.0
'iomrall',,ˈʊmˠəɾˠəl̪ˠ,ˈiəmˠɾˠəlˠ,65,0.74
'shúil',,huːlʲ,ˈhúlʲ,37,0.62
'acusan',,ˈakusˠənˠ, ˈakəsˠənˠ,ˈakəsˠən̪ˠ,87,0.89
'feiceáil',,ˈfʲɛcɑːlʲ,ˈfʲɛceɑːlʲ,93,0.94
'Dia duit',,ˌdʲiə ˈd̪ˠɪtʲ,ˈdʲiə d̪ˠət̪ˠ,61,0.72
'tura',,ˈt̪ˠʊɾˠə,ˈt̪ˠʊɾˠə,100,1.0
'ainrialaí',,ˈanʲˌɾˠiəlˠiː,ˈan̪ʲɾʲiəlˠiː,71,0.78
'míoltóg',,ˈmʲiːl̪ˠt̪ˠoːɡ,ˈmʲiːl̠ˠt̪ˠoːɡ,95,0.96
'mhuirnín',,ˈwuːɾˠnʲiːnʲ,ˈwɪɾʲnʲiːnʲ,73,0.79
'ruaigim',,ˈɾˠuəɟɪmʲ,ˈɾˠuəɟɪmʲ,100,1.0
'ramhar',,ɾˠauɾˠ,ˈɾˠəuəɾˠ,60,0.71
'sanasán',,ˈsˠanˠəsˠɑːnˠ,ˈsˠɪn̪ˠəsˠɑːn̪ˠ,76,0.81
'mura',,ˈmˠʊɾˠə,ˈmˠʊɾˠə,100,1.0
'mháistreása',,ˈwɑːʃtʲɾʲɑːsˠə,ˈwɑːʃtʲɾʲeɑːsˠə,96,0.96
'cruaidh',,kɾˠuə,ˈkɾˠuə,80,0.83
'íota',,ˈiːt̪ˠə,ˈiːt̪ˠə,100,1.0
'féidir',,ˈfʲeːdʲəɾʲ,ˈfʲeːdʲəɾʲ,100,1.0
'drochmhúinte',,d̪ˠɾˠɔxˈ(w)uːn̠ʲtʲə,ˈd̪ˠɾˠəxwún̪ʲtʲə,63,0.73
'threo',,hɾʲoː,hɾʲoː,100,1.0
'clóiséad',,ˈklˠoːʃeːd̪ˠ,ˈklˠóʃeːd̪ˠ,84,0.86
'osa',,ˈɔsˠə,ˈɔsˠə,100,1.0
'smior',,ˈsˠmʲɪɾˠ,ˈʃmʲiəɾˠ,64,0.74
'deargaim',,ˈdʲaɾˠɡəmʲ,ˈdʲaɾˠəɡəmʲ,89,0.90
'consan',,ˈkɔn̪ˠsˠənˠ, ˈkɔn̪ˠsˠən̪ˠ,ˈkɔn̪ˠsˠən̪ˠ,100,1.0
'sciúlán',,ˈʃcuːlˠɑːnˠ, ˈʃcuːl̪ˠɑːn̪ˠ,ˈʃcuːlˠɑːn̪ˠ,90,0.91
'aríst',,əˈɾʲiːʃtʲ,ˈaɾʲiːʃtʲ,81,0.84
'éinne',,ˈeːnʲə,ˈeːnʲə,100,1.0
'dochreidte',,d̪ˠɔˈçɾʲɛtʲə,ˈd̪ˠɔhɾʲədʲtʲə,58,0.71
'ócairín',,ˈoːkəɾʲiːnʲ,ˈoːkəɾʲiːnʲ,100,1.0
'prios',,pʲɾʲɪsˠ,ˈpʲɾʲiəsˠ,73,0.79
'seo chugainn',,ʃɔ ˈxʊɡən̠ʲ,ˈʃoː xəɡən̪ˠ,40,0.62
'charad',,ˈxaɾˠəd̪ˠ,ˈxaɾˠəd̪ˠ,100,1.0
'sochreidte',,ˈsˠɔˌçɾʲɛtʲə,ˈsˠɔhɾʲədʲtʲə,63,0.73
'Micheál',,ˈmʲɪçaːlˠ,ˈmʲɪçeɑːlˠ,82,0.85
'Caoimhín',,ˈkiːvʲiːnʲ,ˈkiːvʲiːnʲ,100,1.0
'saorstát',,ˈsˠiːɾˠˌsˠt̪ˠɑːt̪ˠ,ˈsˠiːɾˠsˠt̪ˠɑːt̪ˠ,93,0.94
'pháistí',,ˈfˠɑːʃtʲiː,ˈfˠɑːʃtʲiː,100,1.0
'uinge',,ˈɪɲɟɪ, ˈɪɲɪ,ˈɪɲə,90,0.91
'amharclann',,ˈəuɾˠklˠən̪ˠ,ˈəuəɾˠklˠən̪ˠ,90,0.92
'ceárta',,ˈcɑːɾˠt̪ˠə,ˈceɑːɾˠt̪ˠə,94,0.95
'ghor',,ɣɔɾˠ,ɣɔɾˠ,100,1.0
'damnaím',,ˈd̪ˠamˠnˠiːmʲ, ˈd̪ˠamˠn̪ˠiːmʲ,ˈd̪ˠɪmˠn̪ˠəmʲ,77,0.81
'malairt',,ˈmˠalˠəɾˠtʲ,ˈmˠalˠəɾʲtʲ,88,0.90
'Bascais',,ˈbˠasˠkəʃ,ˈbˠasˠkəʃ,100,1.0
'luin',,l̪ˠɪnˠ,lˠʊn̪ˠ,40,0.62
'dualgas',,ˈd̪ˠuəlˠɡəsˠ, ˈd̪ˠuəl̪ˠɡəsˠ,ˈd̪ˠuəlˠəɡəsˠ,90,0.92
'ar dtús',,əɾˠˈd̪ˠuːsˠ,əɾˠ d̪ˠˈuːsˠ,80,0.83
'fuin',,fˠɪnʲ,fˠʊn̪ˠ,40,0.62
'cuimil',,ˈkɪmʲəlʲ,ˈkɪmʲəlʲ,100,1.0
'siúinéaraí',,ˈʃuːnʲeːɾˠiː,ˈʃúnʲeːɾˠiː,85,0.87
'bhacach',,ˈwakəx,ˈwakəx,100,1.0
'beoracha',,ˈbʲoːɾˠəxə,ˈbʲoːɾˠəxə,100,1.0
'collach',,ˈkol̪ˠəx,ˈkɔlˠəx,66,0.75
'seacláid',,ˈʃæklˠɑːdʲ, ˈʃækl̪ˠɑːdʲ,ˈʃaklˠɑːdʲ,88,0.89
'scrábán',,ˈsˠkɾˠɑːbɑːnˠ,ˈsˠkɾˠɑːbˠɑːn̪ˠ,84,0.87
'bláthnaid',,ˈbˠl̪ˠɑːn̪ˠədʲ,ˈbˠlˠɑːhn̪ˠədʲ,87,0.89
'bogaigh',,ˈbɔɡiː,ˈbˠɔɡə,54,0.69
'ghéaraigh',,ˈjeːɾˠi, ˈjɛə̯ɾˠi, ˈjɛə̯ɾˠə,ˈjeːɾˠə,83,0.86
'-sa',,sˠə,-sˠa,40,0.62
'nua',,n̪ˠuː,n̪ˠuə,75,0.80
'canach',,ˈkanˠəx,ˈkan̪ˠəx,83,0.86
'rua',,ɾˠuə,ɾˠuə,100,1.0
'tua',,t̪ˠuə,t̪ˠuə,100,1.0
'ligean',,ˈl̠ʲɪɟənˠ, ˈl̠ʲɪɟən̪ˠ,ˈlʲɪɟən̪ˠ,87,0.89
'oráistí',,oˈrɑːʃtʲiː, ˈorɑːʃtʲiː,ˈʊɾˠɑːʃtʲiː,70,0.77
'mheabhair',,vʲəuɾʲ,ˈvʲəuəɾʲ,71,0.78
'braiteach',,ˈbˠɾˠatʲəx,ˈbˠɾˠatʲəx,100,1.0
'spioraid',,ˈsˠpʲiɾˠədʲ, ˈsˠpʲɾʲidʲ,ˈʃpʲiəɾˠədʲ,73,0.79
'chor',,xɔɾˠ,xɔɾˠ,100,1.0
'ata',,ˈat̪ˠə,ˈat̪ˠə,100,1.0
'carcair',,ˈkaɾˠkəɾʲ,ˈkaɾˠkəɾʲ,100,1.0
'atáim',,əˈt̪ˠɑːmʲ,ˈɪt̪ˠɑːmʲ,75,0.80
'súiche',,ˈsˠuːçɪ, ˈsˠui̯çɪ,ˈsˠúçə,66,0.75
'amháin',,əˈwɑːnʲ,ˈɪɑːnʲ,66,0.75
'dúisigh',,ˈd̪ˠuːʃiː, ˈd̪ˠuːʃə,ˈd̪ˠúʃə,80,0.83
'pósfad',,ˈpˠoːsˠəd̪ˠ,ˈpˠoːsˠfˠəd̪ˠ,85,0.88
'guala',,ˈɡuəlˠə, ˈɡuəl̪ˠə,ˈɡuəlˠə,100,1.0
'ceilp',,cɛlʲpʲ,cɛl̠ʲpʲ,81,0.85
'cun',,kʊnˠ, kʊn̪ˠ,kʊn̪ˠ,100,1.0
'bun',,bˠun̪ˠ,bˠʊn̪ˠ,80,0.83
'go dtí go',,ɡə ˈdʲiː ɡə,ɡə dʲˈiː ɡə,77,0.82
'bunús',,ˈbʊnˠuːsˠ,ˈbˠʊn̪ˠuːsˠ,77,0.82
'Nuala',,ˈn̪ˠuːəlˠə,ˈn̪ˠuəlˠə,88,0.89
'thura',,ˈhʊɾˠə,ˈhʊɾˠə,100,1.0
'cúcamar',,kuːkəmˠərˠ,ˈkuːkəmˠəɾˠ,77,0.82
'ramhair',,ɾˠəurʲ,ˈɾˠəuəɾʲ,60,0.71
'inín',,ˈɪnʲiːnʲ,ˈɪnʲiːnʲ,100,1.0
'bua',,bˠuə,bˠuə,100,1.0
'faoinar',,ˈfˠiːnˠəɾˠ,ˈfˠiːn̪ˠəɾˠ,89,0.90
'dua',,d̪ˠuə,d̪ˠuə,100,1.0
'canúnach',,ˈkanˠuːnˠəx,ˈkan̪ˠuːn̪ˠəx,80,0.83
'eabar',,ˈabˠəɾˠ,ˈabˠəɾˠ,100,1.0
'mo',,mˠə,mˠɔ,80,0.83
'pé',,pʲeː,pʲeː,100,1.0
'thuiscint',,ˈhɪʃcɪn̠ʲtʲ,ˈhɪʃcɪn̠ʲtʲ,100,1.0
'ré',,ɾˠeː,ɾʲeː,71,0.78
'matán',,ˈmˠat̪ˠɑːnˠ,ˈmˠɪt̪ˠɑːn̪ˠ,80,0.84
'réam',,ɾˠeːmˠ,ɾʲeːmˠ,80,0.83
'gé',,ɟeː,ɟeː,100,1.0
'fé',,fʲeː,fʲeː,100,1.0
'hé',,heː,heː,100,1.0
'áinsíoch',,ˈaːn̠ʲʃiəx,ˈɑːn̪ʲʃiː,62,0.73
'jé',,d͡ʒeː,jeː,37,0.62
'mé',,mʲeː,mʲeː,100,1.0
'cruitíneach',,ˈkɾˠɪtʲiːnʲəx,ˈkɾˠətʲiːnʲəx,95,0.95
'branda',,ˈbˠɾˠan̪ˠd̪ˠə,ˈbˠɾˠan̪ˠd̪ˠə,100,1.0
'scamall',,ˈsˠkamˠəl̪ˠ,ˈsˠkamˠəlˠ,88,0.89
'do',,ɡə,d̪ˠɔ,14,0.54
'fraoch',,fˠɾˠiːx, fˠɾˠɯːx,fˠɾˠiːx,100,1.0
'yé',,jeː,yeː,75,0.80
'a chairde',,ə ˈxɑːɾˠdʲə,ə ˈxaɾʲədʲə,63,0.73
'easpach',,ˈasˠpˠəx,ˈasˠpˠəx,100,1.0
'grúpa',,ˈɡɾˠuːpˠə,ˈɡɾˠuːpˠə,100,1.0
'gha',,ɣa(h),ɣa,50,0.67
'carraige',,ˈkaːɾˠiɟə,ˈkaɾˠəɟə,73,0.79
'mearbhall',,ˈmʲaɾˠəwəl̪ˠ,ˈmʲaɾˠwəlˠ,80,0.83
'nn',,n̠ʲ, n̪ˠ,n̪ˠ,100,1.0
'báille',,ˈbˠɑːl̠ʲə,ˈbˠɑːlˠə,81,0.84
'fhios',,ɪsˠ,ˈiəsˠ,50,0.67
'múinte',,ˈmˠuːn̠ʲtʲə,ˈmˠún̪ʲtʲə,77,0.82
'rabhadar',,ˈɾˠawəd̪ˠəɾˠ,ˈɾˠəuəd̪ˠəɾˠ,86,0.88
'Éire',,ˈeːɾʲə,ˈeːɾʲə,100,1.0
'thoir',,heɾʲ, hɨɾʲ,hɔɾˠ,57,0.70
'aitheasc',,ˈahəsˠk,ˈahəsˠk,100,1.0
'faoi',,fˠiː,fˠiː,100,1.0
'cé',,ceː,ceː,100,1.0
'bé',,bʲeː,bʲeː,100,1.0
'dé',,dʲeː,dʲeː,100,1.0
'nia',,n̠ʲiə,ˈnʲiə,62,0.73
'eitiú',,ˈɛtʲuː,ˈɛtʲuː,100,1.0
'dúinte',,ˈd̪uːn̠ʲtʲə,ˈd̪ˠún̪ʲtʲə,73,0.79
'lia',,lʲiə, l̠ʲiə,ˈlʲiə,75,0.80
'breoim',,bʲɾʲoːmʲ,bʲɾʲoːmʲ,100,1.0
'luain',,ˈl̪ˠuənʲ,ˈlˠuənʲ,84,0.87
'sifín',,ˈʃɪfʲiːnʲ,ˈʃɪfʲiːnʲ,100,1.0
'bhaint',,ˈwan̠ʲtʲ, ˈwɪn̠ʲtʲ,wan̪ʲtʲ,75,0.80
'aga',,ˈaɡə,ˈaɡə,100,1.0
'facais',,ˈfˠakəʃ,ˈfˠakəʃ,100,1.0
'buain',,ˈbˠuənʲ,ˈbˠuənʲ,100,1.0
'um',,ʊmˠ,ʊmˠ,100,1.0
'pracar',,ˈpˠɾˠakəɾˠ,ˈpˠɾˠakəɾˠ,100,1.0
'imleacán',,ˈimʲlʲəkɑːnˠ,ˈɪmʲlʲəkɑːn̪ˠ,81,0.85
'feolta',,ˈfʲoːl̪ˠt̪ˠə,ˈfʲoːl̪ˠt̪ˠə,100,1.0
'Éireann',,ˈeːɾʲən̪ˠ,ˈeːɾʲən̪ˠ,100,1.0
'dúiche',,ˈd̪ˠuːçə,ˈd̪ˠúçə,78,0.82
'Dé',,dʲeː,dʲeː,100,1.0
'tosach',,ˈt̪ˠɔsˠəx,ˈt̪ˠɔsˠəx,100,1.0
'táille',,ˈt̪ˠɑːl̠ʲə,ˈt̪ˠɑːlˠə,83,0.86
'tóga',,ˈt̪ˠoːɡə,ˈt̪ˠoːɡə,100,1.0
'ghoir',,ˈɣɛɾʲ,ɣɔɾˠ,50,0.67
'lastuas',,l̪ˠasˠˈt̪ˠuəsˠ,ˈlˠasˠt̪ˠuəsˠ,77,0.81
'cuiseog',,ˈkɪʃoːɡ,ˈkɪʃoːɡ,100,1.0
'ríomhchláraitheoir',,ɾˠiːvˠˈxlˠaːɾˠəhoːɾʲ,ˈɾʲiːwxlˠɑːɾˠəhoːɾʲ,66,0.75
'phasta',,ˈfˠasˠt̪ˠə,ˈfˠasˠt̪ˠə,100,1.0
'dea-bhéasach',,dʲaˈvʲeːsˠəx,ˈdʲa-vʲeːsˠəx,78,0.83
'Dia',,dʲiə,ˈdʲiə,75,0.80
'taoide',,ˈt̪ˠiːdʲə,ˈt̪ˠiːdʲə,100,1.0
'níor',,n̠ʲiːɾˠ,nʲiːɾʲ,66,0.75
'málaí',,ˈmˠɑːlˠiː,ˈmˠɑːlˠiː,100,1.0
'tíor',,tʲiːɾˠ,tʲiːɾʲ,80,0.83
'caoch',,kiːx,kiːx,100,1.0
'cora',,ˈkɔɾˠə,ˈkɔɾˠə,100,1.0
'suaimhneach',,ˈsˠiːmʲɾʲəx,ˈsˠuənʲəx,55,0.69
'scoile',,ˈsˠkɞlʲə,ˈsˠkɛlʲə,92,0.93
'Toirdhealbhach',,ˈtʲɾʲɛl̪ˠax,ˈt̪ˠɛɾʲjəl̪ˠwəx,56,0.69
'bolcán',,ˈbɔlˠkɑːnˠ,ˈbˠʊl̪ˠkɑːn̪ˠ,63,0.73
'fia',,fʲiə,ˈfʲiə,75,0.80
'innealtóir',,ˈinʲəlˠt̪ˠoːɾʲ,ˈɪnʲəl̪ˠt̪ˠóɾʲ,72,0.78
'bia',,bʲiə,ˈbʲiə,75,0.80
'dia',,dʲiə,ˈdʲiə,75,0.80
'saoir',,sˠiːɾʲ,sˠiːɾʲ,100,1.0
'ceird',,ceɾˠdʲ ~ coɾˠdʲ,cɛɾʲdʲ,33,0.60
'úsáideoirí',,ˈuːsˠɑːdʲoːɾʲiː,ˈuːsˠɑːdʲoːɾʲiː,100,1.0
'riabhóg',,ˈɾˠiəwoːɡ,ˈɾʲiəuoːɡ,80,0.83
'danartha',,ˈd̪ˠanˠəɾˠə, ˈd̪ˠan̪ˠəɾˠə,ˈd̪ˠan̪ˠəɾˠhə,95,0.96
'Rómáinis',,ˈɾˠoːmˠɑːnʲəʃ,ˈɾˠoːmˠɑːnʲəʃ,100,1.0
'mús',,mˠuːsˠ,mˠuːsˠ,100,1.0
'lao',,l̪ˠiː,lˠiː,75,0.80
'tirim',,ˈtʲeɾʲəmʲ,ˈtʲɪɾʲəmʲ,87,0.89
'díchiall',,ˈdʲiːˌceːl̠ʲə, ˈdʲiːˌçeːl̠ʲə,ˈdʲiːçiəlˠ,52,0.68
'cuntais',,ˈkʊn̪ˠt̪ˠəʃ,ˈkʊn̪ˠt̪ˠəʃ,100,1.0
'thiocfá',,ˈhʊkfˠɑː,ˈhiəkfˠɑː,78,0.82
'focail',,ˈfˠɔkəlʲ,ˈfˠɔkəlʲ,100,1.0
'urghabh',,ˈʊɾˠɣəu,ˈʊɾˠɣəu,100,1.0
'Ceatharlach',,ˈcahəɾˠl̪ˠəx,ˈcahəɾˠlˠəx,89,0.90
'scuabtha',,ˈsˠkuəpˠə,ˈsˠkuəbˠhə,86,0.88
'ala',,ˈalˠə,ˈalˠə,100,1.0
'giuirléid',,ˈɟuːɾˠlʲeːdʲ,ˈɟiəɾʲlʲeːdʲ,75,0.80
'ní móide',,n̠ʲiː ˈmˠuːdʲə,nʲiː mˠódʲə,68,0.76
'úsáideach',,ˈuːsˠɑːdʲəx,ˈuːsˠɑːdʲəx,100,1.0
'dhesean',,ˈjɛʃənˠ,ˈjɛʃən̪ˠ,85,0.88
'seilbh',,ˈʃɛlʲəvʲ,ʃɛl̠ʲvʲ,57,0.70
'féin-',,fʲeːnʲ, heːnʲ,fʲeːnʲ,100,1.0
'j, ɟ, ɣ',,95,j, ɟ, ɣ,0,0.50
'sceitimíní',,ˈʃcɛtʲəmʲiːnʲiː,ˈʃcɛtʲəmʲiːnʲiː,100,1.0
'n-each',,n̠ʲax,nʲ-ax,57,0.70
'taidhleoir',,ˈt̪ˠailʲoːɾʲ,ˈt̪ˠɑːlʲoːɾʲ,80,0.84
'bithiúnta',,ˈbʲɪhuːn̪ˠt̪ˠə,ˈbʲɪhuːn̪ˠt̪ˠə,100,1.0
'Tuaisceart Éireann',,ˈt̪ˠuəʃcəɾˠt̪ˠ ˈeːɾʲən̪ˠ,ˈt̪ˠuəʃcəɾʲtʲ eːɾʲən̪ˠ,80,0.84
'síth',,ʃiː,ʃiː,100,1.0
'feasta',,ˈfʲasˠt̪ˠə,ˈfʲasˠt̪ˠə,100,1.0
'tanaíocha',,ˈt̪ˠanˠiːxə,ˈt̪ˠɪn̪ˠiːəxə,72,0.79
'Peadar',,ˈpʲad̪ˠəɾˠ,ˈpʲad̪ˠəɾˠ,100,1.0
'mearcair',,ˈmʲaɾˠkəɾʲ,ˈmʲaɾˠkəɾʲ,100,1.0
'cánacha',,ˈkɑːnˠəxə,ˈkɑːn̪ˠəxə,88,0.89
'luaidhe',,ˈl̪ˠuː.iː,ˈlˠuəə,42,0.64
'uncail',,ˈʊŋkəlʲ,ˈʊn̪ˠkəlʲ,66,0.75
'iúr',,uːɾˠ,uːɾˠ,100,1.0
'slios',,ʃl̠ʲɪsˠ,ˈʃlʲiəsˠ,53,0.68
'húr',,huːɾˠ,huːɾˠ,100,1.0
'dúigh',,d̪ˠuːj,ˈd̪ˠú,33,0.60
'dúr',,d̪ˠuːɾˠ,d̪ˠuːɾˠ,100,1.0
'Éireannach',,ˈeːɾʲən̪ˠəx,ˈeːɾʲən̪ˠəx,100,1.0
'tuitim',,ˈt̪ˠɪtʲəmʲ,ˈt̪ˠɪtʲəmʲ,100,1.0
'troime',,ˈt̪ˠɾˠɪmʲə,ˈt̪ˠɾˠɛmʲə,94,0.95
'ina',,ˈɪnˠə,ˈɪn̪ˠə,81,0.85
'dháiríre',,ɣɑːˈɾʲiːɾʲə,ˈɣɑːɾʲiːɾʲə,80,0.84
'fíniúin',,ˈfʲiːnʲuːnʲ,ˈfʲiːnʲúnʲ,82,0.85
'píb',,pʲiːbʲ,pʲiːbʲ,100,1.0
'bleaist',,bʲlʲaʃtʲ,ˈbʲlʲaʃtʲ,85,0.88
'stoirm',,ˈsˠt̪ˠɪɾʲəmʲ,sˠt̪ˠɔɾˠmˠ,57,0.70
'éadtualaing',,ˈeːd̪ˠɔlən,ˈeːd̪ˠt̪ˠuəlˠəŋ,56,0.69
'mbia',,mʲiə,mʲˈiə,75,0.80
'lochán',,ˈl̪ˠɔxɑːnˠ,ˈlˠʊxɑːn̪ˠ,64,0.74
'cíb',,ˈciːbʲ,ciːbʲ,77,0.82
'óir',,oːɾʲ,ˈóɾʲ,50,0.67
'i ndísc',,əˈn̠ʲiːʃc,ə nʲˈiːʃc,60,0.71
'god é',,ɡəˈd̪ˠeː,ˈɡɪdʲ eː,35,0.61
'maistín',,ˈmˠaʃtʲiːnʲ,ˈmˠaʃtʲiːnʲ,100,1.0
'adhlaic',,ˈɑːl̪ˠəc, ˈəil̪ˠəc,ˈailˠəc,71,0.78
'tíoróideach',,ˈtʲiːɾˠoːdʲəx,ˈtʲiːɾˠódʲəx,85,0.88
'gabhar',,ˈɡɑuəɾˠ,ˈɡəuəɾˠ,92,0.93
'gualainn',,ˈɡuəlˠən̠ʲ, ˈɡuəl̪ˠən̠ʲ,ˈɡuəlˠən̪ˠ,82,0.85
'cochán',,ˈkɔxɑːnˠ,ˈkʊxɑːn̪ˠ,73,0.79
'ama',,ˈamˠə,ˈamˠə,100,1.0
'sna',,sˠnˠə,sˠn̪ˠa,55,0.69
'luime',,ˈl̪ˠɪmʲə,ˈlˠɪmʲə,85,0.88
'ciumhais',,cuːsˠ, cuːʃ, cũːsˠ,ˈcəuəʃ,40,0.62
'suime',,ˈsˠɪmʲə,ˈsˠɪmʲə,100,1.0
'cainte',,ˈkan̠ʲtʲə,ˈkan̪ʲtʲə,92,0.93
'bainte',,ˈbˠan̠ʲtʲə, ˈbˠɪn̠ʲtʲə,ˈbˠan̪ʲtʲə,93,0.94
'náid',,n̪ˠɑːdʲ,n̪ˠɑːdʲ,100,1.0
'd'fhreastail',,ˈdʲɾʲasˠt̪ˠəlʲ,dʲ'ɾʲasˠt̪ˠəlʲ,86,0.88
'céadta',,ˈceːt̪ˠə,ˈceːd̪ˠt̪ˠə,72,0.78
'cairr',,kaːɾˠ,kaɾˠ,75,0.80
'dtitinn',,ˈdʲɪtʲən̠ʲ,dʲˈɪtʲən̪ˠ,58,0.71
'fuireachas',,ˈfˠɪɾʲəxəsˠ,ˈfˠɪɾʲəxəsˠ,100,1.0
'báid',,bˠɑːdʲ,bˠɑːdʲ,100,1.0
'taghd',,t̪ˠəid̪ˠ,t̪ˠəd̪ˠ,92,0.93
'ndosanna',,ˈn̪ˠɔsˠən̪ˠə,n̪ˠˈɔsˠən̪ˠə,80,0.84
'dorais',,ˈd̪ˠɔɾˠəʃ,ˈd̪ˠɔɾˠəʃ,100,1.0
'caite',,ˈkatʲə,ˈkatʲə,100,1.0
'Uíbh',,iːvʲ,ˈuiːvʲ,66,0.75
'cál ceannann',,ˌkɑːlˠ ˈcan̪ˠən̪ˠ,ˈkɑːlʲ can̪ˠən̪ˠ,81,0.84
'Íosa Críost',,ˌiːsˠə ˈcɾʲiːsˠt̪ˠ,ˈiːsˠə cɾʲiːʃtʲ,65,0.74
'Fionlainnise',,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃə,ˈfʲiən̪ˠlˠən̪ˠəʃə,73,0.79
't-éadach',,ˈtʲeːd̪ˠəx,tʲ-ˈeːd̪ˠəx,70,0.77
'cá huair',,kɑːˈhuəɾʲ,ˈkɑː huəɾʲ,75,0.80
'chugham',,xuːmˠ,ˈxaiəmˠ,40,0.62
'agam',,ˈuɡəmˠ,aɡəmˠ,70,0.77
'séasúr',,ˈʃeːsˠuːɾˠ,ˈʃeːsˠuːɾˠ,100,1.0
'Cincís',,ˈcɪɲciːʃ,ˈcɪn̠ʲciːʃ,75,0.80
'foireann',,ˈfˠɪɾʲən̪ˠ,ˈfˠɛɾʲən̪ˠ,94,0.95
'Fíníneachas',,ˈfʲiːnʲiːnʲəxəsˠ,ˈfʲiːnʲiːnʲəxəsˠ,100,1.0
'ur-',,ʊɾˠ,ʊɾˠ,100,1.0
'bhíodar',,ˈvʲiːd̪ˠəɾˠ,ˈvʲiːd̪ˠəɾˠ,100,1.0
'mbeidh',,mʲɛj,mʲɪ,66,0.75
'achoimre',,ˈaˌxɪmʲɾʲə,ˈaxəmʲɾʲə,82,0.85
'-na',,nˠə, n̪ˠə,-n̪ˠa,57,0.70
'uíbh',,iːvʲ,ˈuiːvʲ,66,0.75
'mamaí',,ˈmˠamˠiː,ˈmˠɪmˠiː,84,0.87
'Inide',,ˈɪnʲədʲə,ˈɪnʲədʲə,100,1.0
'úd',,uːd̪ˠ,uːd̪ˠ,100,1.0
'saol',,sˠiːlˠ, sˠiːl̪ˠ,sˠiːlˠ,100,1.0
'dána',,ˈd̪ˠɑːnˠə,ˈd̪ˠɑːn̪ˠə,88,0.90
'cána',,ˈkɑːnˠə,ˈkɑːn̪ˠə,85,0.88
'bréagfholt',,ˈbʲɾʲeːɡˌɔl̪ˠt̪ˠ,ˈbʲɾʲeːɡəl̪ˠt̪ˠ,89,0.90
'ríocht',,ɾˠiəxt̪ˠ,ɾʲiːçtʲ,23,0.57
'faol',,fˠiːlˠ,fˠiːlˠ,100,1.0
'dheinimís',,jɪnʲəˈmʲiːʃtʲ,ˈjɛnʲəmʲiːʃ,61,0.72
'gaol',,ɡiːlˠ,ɡiːlˠ,100,1.0
'clabhta',,ˈklˠaut̪ˠə,ˈklˠəut̪ˠə,87,0.89
'rópa',,ˈɾˠoːpˠə,ˈɾˠoːpˠə,100,1.0
'phlúch',,fˠlˠuːx, fˠl̪ˠuːx,fˠlˠuːx,100,1.0
'bóithrín',,ˈbˠoːhɾʲiːnʲ,ˈbˠóhɾʲiːnʲ,84,0.86
'Gaedhilge',,ˈɡeːlʲɟə,ˈɟeːjəl̪ʲɟə,68,0.76
'aíocht',,iəxt̪ˠ,ˈiːəxt̪ˠ,69,0.76
'mhaige',,ˈwæɟɪ,ˈwaɟə,66,0.75
'ngeasa',,ˈɲasˠə,ˈŋasˠə,80,0.83
'criadh',,cɾʲiə,ˈcɾʲiə,80,0.83
'guidte',,ˈɡɪtʲə,ˈɡɪdʲtʲə,78,0.82
'fichidí',,ˈfʲɪçɪdʲiː,ˈfʲɪçədʲiː,94,0.94
'hurais',,ˈhʊɾˠəʃ,ˈhʊɾˠəʃ,100,1.0
'losaid',,ˈl̪ˠɔsˠədʲ,ˈlˠɔsˠədʲ,88,0.89
'dealbh',,ˈdʲalˠəvˠ,dʲal̪ˠw,42,0.64
'Luan Cásca',,ˌl̪ˠuən̪ˠ ˈkɑːsˠkə,ˈlˠuən̪ˠ kɑːsˠkə,82,0.85
'baol',,bˠiːlˠ, bˠiːl̪ˠ,bˠiːlˠ,100,1.0
'ar aghaidh',,ɛɾʲ ˈəi,əɾˠ ˈaiə,53,0.68
'tSíle',,ˈtʲiːlʲə,ˈtʲʃiːlʲə,86,0.88
'caol',,kiːlˠ, kiːl̪ˠ,kiːlˠ,100,1.0
'tána',,ˈt̪ˠɑːnˠə,ˈt̪ˠɑːn̪ˠə,88,0.90
'gheasa',,ˈjasˠə,ˈjasˠə,100,1.0
